strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/India/GJ-GBRC10482/2023	EPI_ISL_17269937		Shantaba Medical College, Amreli	Gujarat Biotechnology Research Centre	Apurvasinh Puvar et al
hCoV-19/Iran/EH1325/2023	EPI_ISL_18443130		Ahvaz University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Zahra Ahmadi et al
hCoV-19/Iraq/NIC-1-0510-74/2023	EPI_ISL_18451355		PHL	NIC-CPHL	Iman Aufi et al
hCoV-19/Canada/ON-PHL-23-27045/2023	EPI_ISL_18055190		Public Health Ontario Laboratory	Public Health Ontario Laboratory	Jacob Afelskie et al
hCoV-19/USA/NY-GBW-H20-347-4637/2023	EPI_ISL_18386637		Clinical Enterprise Airport (DC Indv)	Ginkgo Bioworks Clinical Laboratory / XpressCheck	Keith Robison et al
hCoV-19/Malaysia/UNIMAS-B19642/2023	EPI_ISL_18213556		Borneo Medical Centre	Institute of Health and Community Medicine	Chan Chia Jui et al
hCoV-19/Fujian/FCDC-XM042805/2023	EPI_ISL_17689321		Institute for the Prevention and Control of Infectious Diseases, Fujian Provincial Center for Disease Control and Prevention	Institute for the Prevention and Control of Infectious Diseases, Fujian Provincial Center for Disease Control and Prevention	Lin et al
hCoV-19/Nepal/NPHL-S-2431/2023	EPI_ISL_17591978		PPHL-Lumbini	National Public Health Laboratory	Dr Runa Jha et al
hCoV-19/India/GJ-INSACOG-GBRC13555/2023	EPI_ISL_18136377		GMERS Medical College, Vadnagar	Gujarat Biotechnology Research Centre-INSACOG	Unnati Panchal et al
hCoV-19/Russia/SPE-RII-MH153612S/2023	EPI_ISL_18736192		Saint Petersburg City Polyclinic No 106	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Mexico/YUC_CIAD-IMSS_01008430-UIMY/2023	EPI_ISL_18279764		Unidad de Investigacion Medica de Yucatan (UIMY)	Microbial Genomics Laboratory	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in last name alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/India/TN-CDFD-MY-16/2023	EPI_ISL_17850944		Directorate of Public Health and Preventive Medicine	CDFD-INSACOG	Asmita Gupta et al
hCoV-19/India/GJ-INSACOG-GBRC12899/2023	EPI_ISL_17591741		Supratech Micropath Diagnostics & Research laboratory, Ahmedabad	Gujarat Biotechnology Research Centre-INSACOG	Madhvi Joshi et al
hCoV-19/USA/CA-CDC-LC1043960/2023	EPI_ISL_17854158		Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Afghanistan/25257/2023	EPI_ISL_19084619		Central Public Health Laboratories	Central Public Health Laboratories	Mohammad Bashir Omer et al
hCoV-19/India/WB-INSACOG-1931503453115/2023	EPI_ISL_18559703		INSACOG-WB	National Institute of Biomedical Genomics	Arindam Maitra et al
hCoV-19/India/TG-ICMR-NIV-G-14764/2023	EPI_ISL_19147217		ICMR-National Institute of Virology	ICMR-National Institute of Virology	Dr. Varsha Potdar on behalf of NIC Team et al
hCoV-19/India/MH-ICMR-NIV-G-14636/2023	EPI_ISL_18209937		ICMR-National Institute of Virology - INSACOG	NIV Influenza	Dr. Varsha Potdar et al
hCoV-19/Myanmar/DMR_182/2023	EPI_ISL_18397033		Department of Medical Research	Department of Medical Research	Myat Htut Nyunt et al
hCoV-19/Thailand/NIC_BKK_SJRV867/2023	EPI_ISL_18449657		Siriraj Hospital	National Institute of Health, Department of Medical Sciences, Ministry of Public Health, Thailand	Pilailuk Okada et al
hCoV-19/India/DL-AIIMS-COVGE35785/2023	EPI_ISL_17591298		COVID-CBNAAT; Department of Microbiology; AIIMS; New Delhi	Genomics Lab; CCRF; AIIMS; New Delhi_INSACOG	Urvashi B. Singh et al
hCoV-19/India/WB-INSACOG-1930900441131/2023	EPI_ISL_18112874		School of Tropical Medicine	National Institute of Biomedical Genomics	Arindam Maitra et al
hCoV-19/India/TN-CDFD-A4-68/2023	EPI_ISL_17714750		Directorate of Public Health and Preventive Medicine	CDFD-INSACOG	Asmita Gupta et al
hCoV-19/India/TG-CCMB-GMCH-CID7849/2023	EPI_ISL_18873022		Gandhi Medical College and Hospital (GMCH), Secunderabad	CSIR-Centre for Cellular and Molecular Biology	Tulasi Nagabandi et al B
hCoV-19/India/RJ-SMS-ICMR-INSACOG-US-474/2023	EPI_ISL_17663270		SMS MEDICAL COLLEGE,JAIPUR	SMS MEDICAL COLLEGE,JAIPUR	Bharti Malhotra et al
hCoV-19/India/RJ-SMS-ICMR-INSACOG-US-1128/2023	EPI_ISL_17663511		SMS MEDICAL COLLEGE,JAIPUR	SMS MEDICAL COLLEGE,JAIPUR	Bharti Malhotra et al
hCoV-19/India/RJ-SMS-ICMR-INSACOG-US-1436/2023	EPI_ISL_17663665		SMS MEDICAL COLLEGE,JAIPUR	SMS MEDICAL COLLEGE,JAIPUR	Bharti Malhotra et al
hCoV-19/Shanghai/SCDC-HG0607-1791/2023	EPI_ISL_17811135		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Shanghai Municipal Center for Disease Control and Prevention	Zhang et al B
hCoV-19/India/CH-NII-1752/2023	EPI_ISL_17698857		GMSH-16	National Institute of Immunology	Aneeshkumar Arimbasseri et al
hCoV-19/India/MH-ICMR-NIV-G-14445/2023	EPI_ISL_17686311		ICMR-National Institute of Virology - INSACOG	NIV Influenza	Dr. Varsha Potdar et al
hCoV-19/India/RJ-SMS-ICMR-INSACOG-US-3318/2023	EPI_ISL_17760797		SMS MEDICAL COLLEGE,JAIPUR	SMS MEDICAL COLLEGE,JAIPUR	Bharti Malhotra et al
hCoV-19/India/OR-ILSGS21813/2023	EPI_ISL_17957959		FMFMCH, Balasore	Institute of Life Sciences-INSACOG	Sunil K. Raghav et al
hCoV-19/India/MH-ICMR-NIV-2925/2023	EPI_ISL_18120320		Indian Council of Medical Research, National Institute of Virology	National Institute of Virology - Influenza	Dr. Varsha Potdar et al
hCoV-19/India/MH-ICMR-NIV-234374/2023	EPI_ISL_18248370		ICMR-National Institute of Virology - INSACOG	NIV Influenza	Dr. Varsha Potdar et al
hCoV-19/India/MH-ICMR-NIV-G-14720/2023	EPI_ISL_18295225		ICMR-National Institute of Virology - INSACOG	NIV Influenza	Dr. Varsha Potdar et al
hCoV-19/Heilongjiang/HLJCDC-1463/2023	EPI_ISL_17850352		Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Xu Jun et al
hCoV-19/Japan/PG-547065/2023	EPI_ISL_18006978		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Naobumi Sasaki et al
hCoV-19/India/WB-INSACOG-1930302199912/2023	EPI_ISL_18559600		INSACOG-WB	National Institute of Biomedical Genomics	Arindam Maitra et al
hCoV-19/Barbados/184294/2023	EPI_ISL_18871026		Best-dos Santos Public Health Lab	The Caribbean Public Health Agency (CARPHA)	Nikhella Winter-Reece on behalf of CARPHA et al
hCoV-19/Germany/BY-MVP-000020734/2023	EPI_ISL_18265037		Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU Munich	Laboratory for Functional Genome Analysis; Dept. Genomics; Gene Center of the LMU Munich	Max Muenchhoff et al
hCoV-19/India/AS-ICMR-NIV-G-14610/2023	EPI_ISL_18120309		Indian Council of Medical Research, National Institute of Virology	National Institute of Virology - Influenza	Dr. Varsha Potdar et al
hCoV-19/Japan/PG-565323/2023	EPI_ISL_18383939		Gunma Prefectural Institute of Public Health and Environmental Sciences	Gunma Prefectural Institute of Public Health and Environmental Sciences	Hiroyuki Tsukagoshi et al
hCoV-19/France/ARA-HCL723001493501/2023	EPI_ISL_18510089		LABORATOIRE NOVELAB	CNR Virus des Infections Respiratoires, France SUD	Bruno Simon et al
hCoV-19/USA/CO-CDPHE-41516272/2023	EPI_ISL_18583675		Colorado Department of Public Health and Environment	Colorado Department of Public Health and Environment	Laura Bankers et al
hCoV-19/India/UK-GMC-HLD-05-00205/2023	EPI_ISL_18908407		Multidisciplinary Research Unit (MRU), GMC, Haldwani (UK)	NGS, GMC, Haldwani (UK) -INSACOG	Umesh et al
hCoV-19/India/UK-GMC-HLD-05-00214/2023	EPI_ISL_18908416		Multidisciplinary Research Unit (MRU), GMC, Haldwani (UK)	NGS, GMC, Haldwani (UK) -INSACOG	Umesh et al
hCoV-19/India/UK-GMC-HLD-05-00203/2023	EPI_ISL_18908405		Multidisciplinary Research Unit (MRU), GMC, Haldwani (UK)	NGS, GMC, Haldwani (UK) -INSACOG	Umesh et al
hCoV-19/India/UK-GMC-HLD-05-00212/2023	EPI_ISL_18908414		Multidisciplinary Research Unit (MRU), GMC, Haldwani (UK)	NGS, GMC, Haldwani (UK) -INSACOG	Umesh et al
hCoV-19/India/UK-GMC-HLD-06-00250/2023	EPI_ISL_18908452		Multidisciplinary Research Unit (MRU), GMC, Haldwani (UK)	NGS, GMC, Haldwani (UK) -INSACOG	Umesh et al
hCoV-19/India/UK-GMC-HLD-06-00247/2023	EPI_ISL_18908449		Multidisciplinary Research Unit (MRU), GMC, Haldwani (UK)	NGS, GMC, Haldwani (UK) -INSACOG	Umesh et al
hCoV-19/India/UK-GMC-HLD-06-00254/2023	EPI_ISL_18908456		Multidisciplinary Research Unit (MRU), GMC, Haldwani (UK)	NGS, GMC, Haldwani (UK) -INSACOG	Umesh et al
hCoV-19/India/UK-GMC-HLD-06-00235/2023	EPI_ISL_18908437		Multidisciplinary Research Unit (MRU), GMC, Haldwani (UK)	NGS, GMC, Haldwani (UK) -INSACOG	Umesh et al
hCoV-19/Syria/CPHL-DI-3233S/2023	EPI_ISL_18946673		Central Public Health Laboratory	Central Public Health Laboratory	Omama Alani et al
hCoV-19/Poland/0760WSN2023_wsseol/2023	EPI_ISL_18337961		WSSE w Gdansku	Wojewodzka Stacja Sanitarno-Epidemiologiczna w Olsztynie, Laboratorium Badan Epidemiologiczno-Klinicznych	Sylwia Krzetowska et al
hCoV-19/Indonesia/JK-NIHRD-W03482/2023	EPI_ISL_18062408		RS Tzu Chi Pantai Indah Kapuk	National Institute of Health Research and Development	Hana Apsari Pawestri et al
hCoV-19/Russia/SAM-RII-MH146370S/2023	EPI_ISL_18487281		Tolyatti Municipal Clinical Hospital No 5	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Morocco/NIC-1313/2023	EPI_ISL_18347050		NIC at NIH	National Institute of Hygiene	Hassan Ihazmade et al
hCoV-19/Iran/EH272/2023	EPI_ISL_18443145		Medical Genetics Laboratory, Shahid Sadoughi University of Medical Science	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Zahra Ahmadi et al
hCoV-19/Russia/PRI-P11/2023	EPI_ISL_17736286		Somov Institute of Epidemiology and Microbiology, laboratory of respiratory infections	Somov Institute of Epidemiology and Microbiology, laboratory of respiratory infections	Krylova N.V. et al
hCoV-19/Henan/XCCDC060810/2023	EPI_ISL_17956800		Clinical Laboratory, Xuchang CDC	Clinical Laboratory, Xuchang CDC	Xia et al
hCoV-19/Pakistan/NIH-AHF-S39/2023	EPI_ISL_18642785		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/Philippines/PH-SPMC-4-159/2023	EPI_ISL_18098383		Southern Philippines Medical Center	Southern Philippines Medical Center	Johari M. Ancheta et al
hCoV-19/Israel/SMC-7114937/2023	EPI_ISL_18246964		Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)	Nir Rainy et al
hCoV-19/Pakistan/NIH-AHF-S38/2023	EPI_ISL_18642784		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/Afghanistan/95048/2024	EPI_ISL_19084625		Central Public Health Laboratories	Central Public Health Laboratories	Mohammad Bashir Omer et al
hCoV-19/Brazil/RJ-FIOCRUZ-9939/2023	EPI_ISL_18415547		Laboratorio Central de Saude Publica do Estado do Rio de Janeiro (LACEN/RJ)	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Paola Resende et al
hCoV-19/Brazil/RJ-LNN11747/2023	EPI_ISL_18773435		Laboratorio Central Noel Nutels	Bioinformatics Laboratory / LNCC	Luiz G P de Almeida et al
hCoV-19/Nigeria/NCDC-NRL-GL-00232/2023	EPI_ISL_18110470		ONDO	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/Mexico/CMX-INER-2743/2023	EPI_ISL_18798189		Instituto Nacional de Enfermedades Respiratorias (INER)	Laboratorio de Biología Molecular de Enfermedades Emergentes y EPOC, Instituto Nacional de Enfermedades Respiratorias (INER)	Vigilancia Genómica Instituto Nacional de Enfermedades Respiratorias. Authors (in last name alphabetical order): Victor Ahumada-Topete et al
hCoV-19/USA/NY-NYCPHL-018016/2023	EPI_ISL_19020418		DOHMH Morrisania	New York City Public Health Laboratory	Jade Wang et al
hCoV-19/DominicanRepublic/2160600-LNSPDD/2023	EPI_ISL_18281821		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al
hCoV-19/England/CLIMB-CM7YMCY7/2023	EPI_ISL_18366434		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	UK Health Security Agency (UKHSA)	PHE Covid Sequencing Team et al
hCoV-19/USA/NY-CDC-QDX85474674/2023	EPI_ISL_18368447		Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Russia/MOW-PMVL-OM0223674/2023	EPI_ISL_17831548		Pathogenic Microorganisms Variability Laboratory	Pathogenic Microorganisms Variability Laboratory	Andrey Pochtovyy et al
hCoV-19/Russia/BA-RII-MH138085S/2023	EPI_ISL_17665385		Republic of Bashkortostan Republican Clinical Infectious Diseases Hospital	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Pakistan/NIH-AHF-S16/2023	EPI_ISL_18127668		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/Egypt/CPHL-EGY23036/2023	EPI_ISL_17424065		CPHL,MOH,EGYPT	Central Public Health Laboratories (CPHL)	Wael H. Roshdy et al
hCoV-19/Egypt/CPHL-EGY23052/2023	EPI_ISL_17424079		CPHL,MOH,EGYPT	Central Public Health Laboratories (CPHL)	Wael H. Roshdy et al
hCoV-19/Indonesia/JK-BBPPVRP-W00885/2023	EPI_ISL_17585147		RS Gading Pluit (Genelab)	Balai Besar Penelitian dan Pengembangan Vektor dan Reservoir Penyakit	Dimas Bagus Wicaksono P et al
hCoV-19/Indonesia/JK-CW62-4400/2023	EPI_ISL_17774235		Labkesda DKI Jakarta	National Quality Control Laboratory of Drug and Food	Yusrina et al
hCoV-19/Sichuan/NJCDC-1123-3/2023	EPI_ISL_18564301		Neijiang Center of Disease Control and Prevention	Microbiology laboratory, Sichuan Center of Disease Control and Prevention	Fan et al
hCoV-19/Kazakhstan/ALM-764/2023	EPI_ISL_18215025		National Center of Expertise in Almaty region	National center for Biotechnology, National center of Expertise	Abdaliyev Askar et al
hCoV-19/Palestine/528391/2023	EPI_ISL_17671798		CPHL-MOH	Molecular Diagnostic Laboraory-CPHL	Shtayeh Issa et al
hCoV-19/Shanxi/TYCDC292/2023	EPI_ISL_18495223		Microbiology Department, Taiyuan Center for Disease Control and Prevention	Microbiology Department, Taiyuan Center for Disease Control and Prevention	Wang et al
hCoV-19/Yunnan/YNCDC-2106/2023	EPI_ISL_18111238		The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	Zhang et al B
hCoV-19/Shanxi/TYCDC286/2023	EPI_ISL_18495217		Microbiology Department, Taiyuan Center for Disease Control and Prevention	Microbiology Department, Taiyuan Center for Disease Control and Prevention	Wang et al
hCoV-19/Bangladesh/ideSHi-IR-3444/2023	EPI_ISL_16528802		International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b)	Institute for Developing Science and Health Initiatives (ideSHi)	Rahman S et al
hCoV-19/Germany/BY-LGL-5884863/2023	EPI_ISL_17711597		Bayerisches Landesamt fuer Gesundheit und Lebensmittelsicherheit (LGL)	Bayerisches Landesamt fuer Gesundheit und Lebensmittelsicherheit (LGL)	Alexandra Dangel et al
hCoV-19/Shanghai/SCDC-XG07-10100/2023	EPI_ISL_17994518		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Zhang et al B
hCoV-19/Anhui/BZCDC-102/2023	EPI_ISL_17999214		Clinical laboratory, Bozhou Municipal Center for Disease Control & Prevention	Clinical laboratory, Bozhou Municipal Center for Disease Control & Prevention	Qingqiao Gao et al
hCoV-19/Indonesia/JK-NIHRD-W00719/2023	EPI_ISL_17308403		RSUD Pasar Minggu	National Institute of Health Research and Development	Fajar Nur Sulistyahadi et al
hCoV-19/Myanmar/DMR_126/2023	EPI_ISL_17599361		Department of Medical Research	Department of Medical Research	Myat Htut Nyunt et al
hCoV-19/Algeria/3866/2023	EPI_ISL_17986364		National Influenza Centres (NIC), Viral Respiratory Unit	National Influenza Centres (NIC), Viral Respiratory Unit	Baya Hedjal et al
hCoV-19/Indonesia/JK-NIHRD-W03081/2023	EPI_ISL_17835817		RS Mayapada Jakarta Selatan	National Institute of Health Research and Development	Hartanti Dian Ikawati et al
hCoV-19/Russia/SPE-RII-22579S/2023	EPI_ISL_18023452		WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Indonesia/BA-SANGLAHUNUD-0540/2023	EPI_ISL_17788350		RSU Daerah Kab. Buleleng	RSUP Prof IGNG Ngoerah/FK Unud	Ni Nyoman Ayu Dewi et al
hCoV-19/Russia/MAG-RII-MH138477S/2023	EPI_ISL_17665515		Magadan Regional Dispensary of Phthisiology and Infectious Diseases	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Nigeria/NCDC-AFI-00122/2023	EPI_ISL_18110456		National Reference Laboratory	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/India/TG-CDFD-MMG-546/2023	EPI_ISL_16913062		Centre for DNA Fingerprinting and Diagnostics	CDFD-INSACOG	Asmita Gupta et al
hCoV-19/Pakistan/NIH-B119-S4/2023	EPI_ISL_17065054		National Institute of Health - Department of Virology	National Institute of Health - Department of Virology	Massab Umair et al
hCoV-19/Jordan/RMSR14S89/2023	EPI_ISL_16968041		Jordan Royal Medical Services Mobile biological lab	Jordan Royal Medical Services Genomics Core Lab	Dr. Rame Hamdi khasawneh et al
hCoV-19/Bangladesh/icddrb-12493/2023	EPI_ISL_17699543		Virology Laboratory, International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B)	Genome Centre, International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B)	Mohammad Jubair et al
hCoV-19/Qinghai/QCDC-ETYY-48/2023	EPI_ISL_17493038		Qinghai Provincial Center for Disease Control and Prevention	Qinghai Provincial Center for Disease Control and Prevention	Youju Lei et al
hCoV-19/Japan/PG-533547/2023	EPI_ISL_17883658		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Naobumi Sasaki et al
hCoV-19/Russia/TYU-RII-MH144118S/2023	EPI_ISL_18299831		Tyumen Regional Hospital No 19	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Shanghai/SCDC-XG05-5348/2023	EPI_ISL_17770222		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Shanghai Municipal Center for Disease Control and Prevention	Zhang et al B
hCoV-19/Yunnan/YNCDC-1769/2023	EPI_ISL_17999200		The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	The department for prevention and control of acute infectious diseases, Yunnan Center for Disease Control and Prevention	Zhang et al B
hCoV-19/USA/AZ-ASU103546/2023	EPI_ISL_17972839		Arizona State University	Arizona State University	Matthew F. Smith et al
hCoV-19/Pakistan/NIH-B121-S5/2023	EPI_ISL_17202384		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/Netherlands/UT-RIVM-128403/2023	EPI_ISL_17394394		National Institute for Public Health and the Environment (RIVM)	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Singapore/R18MR6/2023	EPI_ISL_17094314		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Grace Ngan et al
hCoV-19/Taiwan/CDC-F85804/2023	EPI_ISL_18101312		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Yu-Chi Lin et al
hCoV-19/Vietnam/NHTD-OUCRU4143/2023	EPI_ISL_18726372		National Hospital of Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
hCoV-19/Vietnam/NHTD-OUCRU4162/2023	EPI_ISL_18726391		National Hospital of Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
hCoV-19/Vietnam/NHTD-OUCRU4166/2023	EPI_ISL_18726395		National Hospital of Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
hCoV-19/Russia/MOW-RII-MH130352S/2023	EPI_ISL_17318524		Gemotest Medical Laboratory	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Iraq/NRC-T040N/2023	EPI_ISL_18858303		Public health laboratory	Center of Scientific Excellence for Influenza Viruses (CSEIV),National Research Centre (NRC)	Ahmed.A.Al-Mankhee et al
hCoV-19/Pakistan/NIHPV-ICT-1611/2023	EPI_ISL_17560615		National Institute of Health Pakistan Virology	National Institute of Health Pakistan Virology	Nazish et al
hCoV-19/Egypt/CPHL-EGY23891/2023	EPI_ISL_18138991		CPHL,MOH,EGYPT	CPHL,MOH,EGYPT	Wael H. Roshdy et al
hCoV-19/Hubei/HCDC-JM2293/2023	EPI_ISL_18078235		Jingmen Center for Diaease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention Center of Pathogenic Microorganism Detection	Yongzhong Jiang et al
hCoV-19/Bulgaria/23BG-NC_023906_R44/2023	EPI_ISL_18673845		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Ivelina Trifonova et al
hCoV-19/Russia/SPE-RII-MH158361S/2023	EPI_ISL_18737055		Saint Petersburg City Polyclinic No 51	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Russia/MOW-RII-MH143995S/2023	EPI_ISL_18299798		HELIX LLC	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Cambodia/940021/2023	EPI_ISL_17736203		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum et al
hCoV-19/Pakistan/IDRL-AKU-KHI-3348-S10/2023	EPI_ISL_17684825		Clinical Lab, Aga Khan University Hospital	Infectious Diseases Research Laboratory, Department of Pediatrics and Child Health	Furqan Kabir et al
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-47549/2023	EPI_ISL_17722052		Azienda Ospedaliera Universitaria Vanvitelli	The Telethon Institute of Genetics and Medicine (TIGEM)	Antonio Grimaldi Tonya Fusco Patrizia Annunziata Francesco Panariello Mariantonietta Pisaturo Carmine Mancini Valentina Bouche Chiara Colantuono Marcello Salvi Antonio Limone Luigi Atripaldi Andrea Ballabio Davide Cacchiarelli et al
hCoV-19/Indonesia/SS-NIHRD-W03206/2023	EPI_ISL_17835969		RSUP M Hoesin Palembang	National Institute of Health Research and Development	Hana Apsari Pawestri et al
hCoV-19/Laos/IPL-78069/2023	EPI_ISL_17832615		NCLE	Institut Pasteur du Laos	Thonglakhone XAYBOUNSOU et al
hCoV-19/Shanghai/SCDC-XG06-9564/2023	EPI_ISL_17987646		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Zhang et al B
hCoV-19/Gansu/TSCDC-053015/2023	EPI_ISL_17783578		Laboratory Department, Tianshui Center for Disease Control and Prevention	Laboratory Department, Tianshui Center for Disease Control and Prevention	Wenjing et al
hCoV-19/Iran/EE015/2023	EPI_ISL_18443086		Urmia University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Zahra Ahmadi et al
hCoV-19/Russia/MOS-RII-MH121508S/2022	EPI_ISL_16291068		Gemotest Medical Laboratory	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Pakistan/NIH-B113-S5/2022	EPI_ISL_16238913		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/Egypt/CPHL-EGY22996/2022	EPI_ISL_17424030		CPHL,MOH,EGYPT	Central Public Health Laboratories (CPHL)	Wael H. Roshdy et al
hCoV-19/Egypt/CPHL-23601/2023	EPI_ISL_18115519		Central Public Health Laboratories, Ministry of Health and Population	Central Public Health Laboratories, Ministry of Health and Population	Wael H. Roshdy et al
hCoV-19/Tunisia/1914/2023	EPI_ISL_17726499		1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia	Zaineb Hamzaoui et al
hCoV-19/Zhejiang/ZJCD-C687/2023	EPI_ISL_17492815		Zhejiang Provincial Center for Disease Control and Prevention	Zhejiang Provincial Center for Disease Control and Prevention	Biaofeng Zhou et al
hCoV-19/Bangladesh/IEDCR-2200771/2023	EPI_ISL_17837239		Institute of Epidemiology, Disease Control and Research (IEDCR)	Institute of Epidemiology, Disease Control and Research (IEDCR)	Manjur Hossain Khan et al
hCoV-19/NewZealand/23ZA2001/2023	EPI_ISL_17740469		Southern Community Labs	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al
hCoV-19/SouthKorea/KDCA244868/2023	EPI_ISL_17816673		Division of Laboratory Diagnosis Analysis, Gyeongbuk Regional Center for Disease Control and Prevention, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Seong Hee Oh et al
hCoV-19/SouthKorea/KDCA242906/2023	EPI_ISL_17807347		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
hCoV-19/India/DL-ILBS-WGS7522/2023	EPI_ISL_17065084		DR. DANGS LAB	Institute of Liver and Biliary Sciences/INSACOG	Ekta Gupta et al
hCoV-19/Indonesia/JI-ITD-60774N/2023	EPI_ISL_17324726		RSUD Dr. Soetomo	Institute of Tropical Disease, Universitas Airlangga	Aldise M Nastri et al
